,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
12289,Psychic Isolation,/app/650820/,Aug 15 2017,4,3,2,2,54.17%
12290,Little Miss Lonely,/app/651820/,Jun 12 2017,2,3,2,2,54.17%
12291,Curse of the Great Forest,/app/652060/,Jun 24 2017,2,3,2,2,54.17%
12292,Bump+Smack,/app/652070/,Aug 9 2017,2,3,2,2,54.17%
12293,Lil' Blue Buddy,/app/658450/,Jun 27 2017,1,3,2,2,54.17%
12294,Dirty Fighter 2,/app/662660/,Jul 7 2017,3,3,2,2,54.17%
12295,Prime Shift,/app/663170/,Aug 4 2017,3,3,2,2,54.17%
12296,Fungoids - Steam version,/app/663480/,Aug 2 2017,1,3,2,2,54.17%
12297,Creepy Races,/app/665950/,Jul 31 2017,3,3,2,2,54.17%
12298,Infested Nation,/app/669360/,Jul 28 2017,2,3,2,2,54.17%
12299,Gulu,/app/675370/,Jul 29 2017,4,3,2,2,54.17%
12300,Watch Out,/app/691860/,Sep 1 2017,2,3,2,2,54.17%
12301,Robin of Loxley the Legend of Sherwood,/app/692090/,Oct 28 2017,1,3,2,2,54.17%
12302,Dark Dimensions: Wax Beauty Collector's Edition,/app/695440/,Aug 24 2017,3,3,2,2,54.17%
12303,Mafia is Alive,/app/702180/,Oct 5 2017,8,3,2,2,54.17%
12304,Onager!,/app/705440/,Sep 22 2017,2,3,2,2,54.17%
12305,Lava Rolling Kid,/app/708250/,Nov 11 2017,3,3,2,2,54.17%
12306,Mula: The Cycle of Shadow,/app/710160/,Dec 16 2017,3,3,2,2,54.17%
12307,大乱斗 Chaos Battle,/app/714880/,Oct 13 2017,4,3,2,2,54.17%
12308,Frontiers.io,/app/721670/,Oct 12 2017,2,3,2,2,54.17%
12309,PeoplePackages,/app/740220/,Nov 7 2017,2,3,2,2,54.17%
12310,Eseapner,/app/740500/,Nov 22 2017,2,3,2,2,54.17%
12311,Tronix Defender,/app/745420/,Nov 13 2017,3,3,2,2,54.17%
12312,Danger Close!,/app/752790/,Dec 1 2017,1,3,2,2,54.17%
12313,Choice of the Rock Star,/app/752830/,Nov 17 2017,5,3,2,2,54.17%
12314,Free Yourself - The Gravity Puzzle Game Starring YOU,/app/768820/,Dec 29 2017,1,3,2,2,54.17%
12315,England Exchange,/app/627820/,May 5 2017,66,62,50,50,54.07%
12316,C:\raft,/app/386710/,Oct 2 2017,6,18,14,14,54.07%
12317,Army General,/app/606950/,Apr 26 2017,20,29,23,23,54.02%
12318,Romance of the Three Kingdoms VI with Power Up Kit,/app/628020/,Jun 27 2017,19,13,10,10,54.02%
12319,Thomaz,/app/668560/,Jul 10 2017,11,13,10,10,54.02%
12320,Cute Monsters Battle Arena,/app/697960/,Aug 26 2017,5,13,10,10,54.02%
12321,Last Toon Standing,/app/721950/,Oct 21 2017,7,13,10,10,54.02%
12322,Desolate Wastes: Vendor Chronicles,/app/563120/,Jul 21 2017,"3,134",92,75,75,54.00%
12323,ReVeN: XBridge,/app/422030/,May 23 2017,5,8,6,6,53.98%
12324,Escape the Bunker,/app/570470/,Jan 2 2017,5,8,6,6,53.98%
12325,Murder In Tehran's Alleys 2016,/app/639730/,Jun 8 2017,3,8,6,6,53.98%
12326,LIBERTY VR,/app/649660/,Jul 3 2017,4,8,6,6,53.98%
12327,Dark Mystery,/app/660900/,Aug 14 2017,3,8,6,6,53.98%
12328,HORDE ATTACK,/app/695810/,Sep 15 2017,3,8,6,6,53.98%
12329,Vinewing,/app/720200/,Nov 7 2017,7,8,6,6,53.98%
12330,The soldier in the mine,/app/685750/,Aug 14 2017,5,52,42,42,53.97%
12331,Kings and Heroes,/app/436560/,Nov 16 2017,286,443,369,369,53.95%
12332,Reaching for Petals: VR Edition,/app/720290/,Oct 19 2017,4,24,19,19,53.95%
12333,Super Shoot Owl,/app/747770/,Dec 1 2017,12,24,19,19,53.95%
12334,Might & Mayhem,/app/646820/,Jun 5 2017,91,47,38,38,53.91%
12335,Brutal Runner,/app/697930/,Oct 13 2017,11,53,43,43,53.89%
12336,The Lost Heir 3: Demon War,/app/596540/,Mar 17 2017,45,19,15,15,53.87%
12337,Battlevoid: Sector Siege,/app/716630/,Oct 25 2017,154,90,74,74,53.83%
12338,Metro Conflict: The Origin,/app/662320/,Dec 14 2017,687,815,686,686,53.82%
12339,Grace of Zordan,/app/685420/,Oct 25 2017,48,85,70,70,53.78%
12340,Robinson: The Journey,/app/579820/,Feb 9 2017,34,250,209,209,53.76%
12341,Hunting Simulator,/app/585080/,Jun 9 2017,66,167,139,139,53.76%
12342,BATTLECREW Space Pirates,/app/411480/,Jul 10 2017,153,104,86,86,53.76%
12343,Teria,/app/557970/,Jan 17 2017,"2,908",37,30,30,53.76%
12344,CYBER (VR),/app/632840/,Aug 31 2017,75,14,11,11,53.75%
12345,Crisis Action VR,/app/648070/,Sep 11 2017,8,14,11,11,53.75%
12346,Pharmakon,/app/654660/,Jul 20 2017,3,14,11,11,53.75%
12347,Ziggurat 3D Chess,/app/654680/,Jul 30 2017,15,14,11,11,53.75%
12348,Magic Siege - Defender,/app/749270/,Nov 30 2017,9,50,41,41,53.68%
12349,Dream Coaster VR Remastered,/app/663190/,Aug 10 2017,20,44,36,36,53.67%
12350,MinosMaze - The Minotaur's Labyrinth,/app/521100/,May 1 2017,380,32,26,26,53.66%
12351,Qbike: Cyberpunk Motorcycles,/app/614970/,Jul 28 2017,8,32,26,26,53.66%
12352,Infinite Scuba,/app/305700/,Jan 12 2017,4,9,7,7,53.59%
12353,Smackitball,/app/461320/,Feb 27 2017,4,9,7,7,53.59%
12354,Boss Defiance,/app/619470/,Sep 1 2017,37,9,7,7,53.59%
12355,EVIL STAR,/app/701540/,Nov 6 2017,35,33,27,27,53.55%
12356,Super Turbo Demon Busters!,/app/262810/,Dec 8 2017,67,91,76,76,53.53%
12357,FlyingRock: Arena,/app/661950/,Jun 23 2017,21,27,22,22,53.53%
12358,FIELD BREAKING,/app/639840/,Jun 3 2017,6,21,17,17,53.52%
12359,逆袭幻想传Reverse Fantasy Legend,/app/657320/,Nov 23 2017,6,21,17,17,53.52%
12360,Frontier Runner,/app/760490/,Dec 18 2017,11,21,17,17,53.52%
12361,Global Soccer: A Management Game 2017,/app/625700/,May 24 2017,11,15,12,12,53.52%
12362,Apez ,/app/683210/,Oct 4 2017,4,15,12,12,53.52%
12363,Billiards,/app/701460/,Sep 6 2017,5,15,12,12,53.52%
12364,Gravity Ball,/app/716870/,Oct 5 2017,3,15,12,12,53.52%
12365,Operation Desert Road,/app/727320/,Oct 20 2017,3,15,12,12,53.52%
12366,Divided We Fall,/app/495580/,Oct 2 2017,70,127,107,107,53.45%
12367,Dream Stone,/app/603090/,Mar 8 2017,"5,264",34,28,28,53.45%
12368,Dark and Light,/app/529180/,Jul 20 2017,"14,089","6,020","5,198","5,198",53.44%
12369,Heroes Evolved,/app/534820/,Jan 23 2017,309,346,295,295,53.41%
12370,Wands,/app/741400/,Dec 19 2017,26,41,34,34,53.40%
12371,Seeking Evil: The Wendigo,/app/571340/,Sep 11 2017,18,35,29,29,53.35%
12372,Drift Horizon Online,/app/491280/,Mar 24 2017,"3,591",406,348,348,53.32%
12373,Fish or Die,/app/389230/,Apr 25 2017,3,4,3,3,53.32%
12374,Block Rocking Beats,/app/425400/,Jun 30 2017,3,4,3,3,53.32%
12375,"SnarfQuest Tales, Episode 1: The Beginning",/app/470020/,Mar 17 2017,2,4,3,3,53.32%
12376,Seabed Prelude,/app/529730/,Feb 24 2017,7,4,3,3,53.32%
12377,ToledoVR,/app/557460/,Jan 16 2017,3,4,3,3,53.32%
12378,"Ready, Aim, Splat!",/app/559170/,Jan 12 2017,6,4,3,3,53.32%
12379,Brush Up VR,/app/567840/,Feb 1 2017,5,4,3,3,53.32%
12380,Bunny Madness Anarchy,/app/591130/,Aug 31 2017,13,4,3,3,53.32%
12381,Power Tools VR,/app/591920/,Oct 25 2017,2,4,3,3,53.32%
12382,Mini Rollers,/app/596990/,Jun 16 2017,5,4,3,3,53.32%
12383,Demon Mark: A Russian Saga,/app/635830/,Jun 1 2017,22,4,3,3,53.32%
12384,Nightcrawler VR Bowling,/app/646180/,Jun 16 2017,4,4,3,3,53.32%
12385,Mob Stadium,/app/650010/,Jun 15 2017,2,4,3,3,53.32%
12386,Mocove Arts VR,/app/652540/,Jun 22 2017,2,4,3,3,53.32%
12387,BOUNCED,/app/656360/,Jul 17 2017,2,4,3,3,53.32%
12388,No Escape,/app/667060/,Dec 14 2017,2,4,3,3,53.32%
12389,Dirty Fighter 1,/app/674980/,Jul 21 2017,3,4,3,3,53.32%
12390,Downloaded: Fragments of a Forgotten Soul,/app/682920/,Aug 9 2017,2,4,3,3,53.32%
12391,Gunducky Industries,/app/686240/,Aug 29 2017,2,4,3,3,53.32%
12392,Tiny Force Deluxe,/app/688620/,Oct 12 2017,4,4,3,3,53.32%
12393,Next Stop Zombie,/app/689050/,Dec 21 2017,2,4,3,3,53.32%
12394,EZ4u,/app/702550/,Sep 19 2017,1,4,3,3,53.32%
12395,Pathstow Mystery VR,/app/716240/,Oct 20 2017,3,4,3,3,53.32%
12396,Daily Run,/app/721940/,Oct 15 2017,17,90,76,76,53.31%
12397,Catacombs 1: Demon War,/app/654250/,Jul 12 2017,5,16,13,13,53.31%
12398,Abstract Arena,/app/678230/,Aug 3 2017,4,16,13,13,53.31%
12399,Above: The Fallen,/app/715490/,Sep 18 2017,3,16,13,13,53.31%
12400,Music Band Manager,/app/730410/,Dec 7 2017,87,190,162,162,53.30%
12401,辣条杂货店:令人感动的穿越时光回到童年，中国小贩逆袭人生故事剧情，经典策略模拟经营休闲养成竞技娱乐独立游戏,/app/687650/,Aug 17 2017,73,169,144,144,53.29%
12402,Deathlike: Awakening,/app/570230/,Apr 28 2017,4,10,8,8,53.27%
12403,Hare,/app/681290/,Sep 27 2017,4,10,8,8,53.27%
12404,Waste Cleaner,/app/705260/,Sep 23 2017,3,10,8,8,53.27%
12405,Bits n Bullets,/app/730180/,Oct 24 2017,2,10,8,8,53.27%
12406,Extreme-G 2,/app/582260/,May 3 2017,30,57,48,48,53.23%
12407,Way of Defector,/app/658660/,Dec 12 2017,14,30,25,25,53.19%
12408,Helium,/app/433900/,Mar 10 2017,8,58,49,49,53.18%
12409,Bang Bang Fruit,/app/587810/,Feb 14 2017,"2,756",94,80,80,53.17%
12410,Kingdom of Loot,/app/466220/,Apr 14 2017,245,198,170,170,53.16%
12411,Ablepsia,/app/713680/,Sep 27 2017,10,95,81,81,53.14%
12412,RAID: World War II,/app/414740/,Sep 26 2017,"1,530","1,123",977,977,53.13%
12413,PLANETS OF WAR,/app/656140/,Jul 1 2017,25,118,101,101,53.12%
12414,Snake Eyes Dungeon,/app/740240/,Dec 21 2017,9,38,32,32,53.10%
12415,Yashik,/app/754800/,Dec 4 2017,3,38,32,32,53.10%
12416,Romance with Chocolate - Hidden Objects,/app/688570/,Sep 28 2017,10,31,26,26,53.09%
12417,Longsword Tabletop Tactics,/app/428610/,Jul 20 2017,28,75,64,64,53.06%
12418,WWE 2K18,/app/664430/,Oct 17 2017,"2,444","1,153","1,007","1,007",53.04%
12419,Trivia Vault: Mini Mixed Trivia 3,/app/710110/,Sep 20 2017,4,46,39,39,53.04%
12420,The Chemist,/app/716380/,Nov 3 2017,9,54,46,46,53.00%
12421,FIRST STEAM GAME VHS - COLOR RETRO RACER : MILES CHALLENGE,/app/768840/,Dec 30 2017,49,32,27,27,53.00%
12422,Holobunnies: Pause Cafe,/app/497710/,Mar 22 2017,10,11,9,9,53.00%
12423,The Rabbit Hole,/app/529630/,May 26 2017,22,11,9,9,53.00%
12424,Delirium,/app/686910/,Aug 31 2017,136,11,9,9,53.00%
12425,ESports Club,/app/656200/,Jun 29 2017,891,827,723,723,52.99%
12426,Elite Warriors: Vietnam,/app/514140/,Feb 2 2017,5,18,15,15,52.97%
12427,Formless Adventure,/app/666260/,Jul 20 2017,550,18,15,15,52.97%
12428,aMAZE 3D,/app/667300/,Jul 13 2017,4,70,60,60,52.96%
12429,Lift It,/app/402220/,Jan 20 2017,"4,510",63,54,54,52.93%
12430,Dragon Kingdom War,/app/540860/,Feb 10 2017,"1,847",41,35,35,52.88%
12431,Inner Voices,/app/559130/,May 10 2017,211,41,35,35,52.88%
12432,Trivia Vault: Mini Mixed Trivia 2,/app/706330/,Sep 18 2017,5,41,35,35,52.88%
12433,Dead By Murder,/app/714300/,Oct 3 2017,5,26,22,22,52.88%
12434,Wonky Ship,/app/742630/,Nov 20 2017,17,26,22,22,52.88%
12435,Porno Studio Tycoon,/app/535490/,May 5 2017,75,120,104,104,52.87%
12436,Trivia Vault: Super Heroes Trivia,/app/687490/,Aug 15 2017,3,57,49,49,52.85%
12437,Arena: Blood on the Sand VR,/app/577890/,Jan 11 2017,"5,460",19,16,16,52.83%
12438,Lost in the Ocean VR,/app/596640/,Feb 24 2017,6,19,16,16,52.83%
12439,Multiplayer FPS Tutorial Demo,/app/628440/,Jul 6 2017,27,106,92,92,52.82%
12440,TankCraft,/app/531520/,Jan 9 2017,406,12,10,10,52.78%
12441,Destination Ares,/app/553470/,Sep 22 2017,6,12,10,10,52.78%
12442,Weeping Skies,/app/650730/,Jun 19 2017,6,12,10,10,52.78%
12443,Kukui,/app/680040/,Aug 9 2017,15,12,10,10,52.78%
12444,Butterfly Moment,/app/711530/,Sep 22 2017,2,12,10,10,52.78%
12445,Meriwether: An American Epic,/app/566690/,Dec 4 2017,2,5,4,4,52.78%
12446,Perch,/app/573460/,Jan 5 2017,3,5,4,4,52.78%
12447,Paulo's Wing,/app/592720/,Feb 23 2017,2,5,4,4,52.78%
12448,My Vet Practice – Marine Patrol,/app/595150/,Mar 6 2017,4,5,4,4,52.78%
12449,OMEGA PATTERN - VISUAL NOVEL,/app/617020/,May 26 2017,4,5,4,4,52.78%
12450,Bebop and Tempo,/app/628560/,Jun 19 2017,4,5,4,4,52.78%
12451,LOG the game!,/app/645470/,Jul 7 2017,2,5,4,4,52.78%
12452,Planetbound,/app/661900/,Jun 27 2017,2,5,4,4,52.78%
12453,This is not RPG,/app/663430/,Jun 29 2017,3,5,4,4,52.78%
12454,Slasher VR,/app/674160/,Oct 4 2017,3,5,4,4,52.78%
12455,Miniature TD,/app/679670/,Aug 15 2017,2,5,4,4,52.78%
12456,Azai - TD,/app/681610/,Aug 4 2017,2,5,4,4,52.78%
12457,Goblin Storm,/app/713840/,Dec 19 2017,7,5,4,4,52.78%
12458,Jam Session VR,/app/732480/,Dec 6 2017,3,5,4,4,52.78%
12459,Awe of Despair,/app/739730/,Nov 22 2017,2,5,4,4,52.78%
12460,Imperi,/app/749710/,Nov 17 2017,4,5,4,4,52.78%
12461,Chinese Paladin：Sword and Fairy 6,/app/696360/,Nov 15 2017,68,176,154,154,52.75%
12462,Trivia Vault: Classic Rock Trivia 2,/app/693890/,Aug 23 2017,6,43,37,37,52.75%
12463,MyFactory,/app/702080/,Sep 22 2017,45,43,37,37,52.75%
12464,Killing Floor: Incursion,/app/690810/,Nov 14 2017,83,486,429,429,52.71%
12465,The Last Hope Trump vs Mafia,/app/581030/,Jan 20 2017,"1,369",232,204,204,52.70%
12466,SYREN,/app/553320/,Feb 16 2017,11,20,17,17,52.70%
12467,Destination: Pluto The VR Experience,/app/580410/,Jan 20 2017,9,20,17,17,52.70%
12468,Super,/app/598170/,Sep 30 2017,22,20,17,17,52.70%
12469,Chinese Souls-Hua Garden/华夏园,/app/668300/,Jul 15 2017,6,20,17,17,52.70%
12470,Jelly in the sky,/app/593530/,Dec 11 2017,20,69,60,60,52.68%
12471,Lords of New York,/app/404070/,Jan 19 2017,282,28,24,24,52.68%
12472,Task is to Survive,/app/735410/,Oct 31 2017,3,28,24,24,52.68%
12473,Summer Nightmare,/app/576860/,Dec 6 2017,39,256,226,226,52.63%
12474,Defence to death,/app/603150/,May 11 2017,"1,642",115,101,101,52.60%
12475,Zahalia: The Knights of Galiveth,/app/562290/,May 1 2017,617,13,11,11,52.59%
12476,Table Football Pro,/app/623900/,May 22 2017,6,13,11,11,52.59%
12477,Gift To Humanity,/app/677210/,Dec 1 2017,413,13,11,11,52.59%
12478,Ballistic Mini Golf,/app/725960/,Oct 24 2017,27,46,40,40,52.58%
12479,Stolen Steel VR,/app/588340/,Feb 22 2017,7,21,18,18,52.58%
12480,Dinosis Survival,/app/613270/,Jul 7 2017,32,153,135,135,52.56%
12481,TARTARUS,/app/608530/,Nov 22 2017,43,110,97,97,52.51%
12482,Algotica Iterations,/app/593330/,Mar 23 2017,257,92,81,81,52.51%
12483,M.A.C.E.,/app/555280/,Mar 16 2017,223,30,26,26,52.51%
12484,Two Worlds II HD - Call of the Tenebrae,/app/626630/,Jul 13 2017,"11,811",30,26,26,52.51%
12485,Lawnmower Game 2: Drifter,/app/749550/,Dec 6 2017,3,30,26,26,52.51%
12486,Crazy Fishing,/app/594370/,May 25 2017,14,57,50,50,52.47%
12487,Unforgiven VR,/app/546210/,Feb 23 2017,7,22,19,19,52.47%
12488,Dangerous Bullets,/app/575770/,May 21 2017,"2,444",22,19,19,52.47%
12489,ZAP Master,/app/679860/,Sep 1 2017,5,22,19,19,52.47%
12490,Queen Of Thieves,/app/524200/,Jan 20 2017,44,14,12,12,52.42%
12491,Rage Against The Zombies,/app/556990/,Jan 19 2017,29,14,12,12,52.42%
12492,VR SUSHI BAR,/app/636590/,Jun 5 2017,3,6,5,5,52.39%
12493,Freedom: A Time to Reckon,/app/655220/,Nov 10 2017,2,6,5,5,52.39%
12494,Six-ear Macaque,/app/669000/,Oct 14 2017,7,6,5,5,52.39%
12495,Apocalypse Knights 2.0,/app/683240/,Aug 30 2017,6,6,5,5,52.39%
12496,Alimardan's Mischief,/app/694420/,Aug 24 2017,2,6,5,5,52.39%
12497,Soundscape Classic,/app/736400/,Nov 1 2017,4,6,5,5,52.39%
12498,40 Days,/app/737600/,Nov 29 2017,3,6,5,5,52.39%
12499,Mint,/app/670100/,Jul 21 2017,5,41,36,36,52.37%
12500,ZombieFight VR,/app/569640/,Jun 15 2017,10,32,28,28,52.37%
12501,Air Combat Arena,/app/746350/,Nov 29 2017,4,32,28,28,52.37%
12502,Spacelords,/app/436180/,Sep 22 2017,"2,093","1,669","1,505","1,505",52.36%
12503,CRIMSON METAL,/app/606960/,May 4 2017,"1,197",139,124,124,52.32%
12504,Trivia Vault: Mini Mixed Trivia,/app/706320/,Sep 16 2017,4,42,37,37,52.32%
12505,Suicide Adventures,/app/705300/,Sep 22 2017,3,33,29,29,52.30%
12506,Cabals: Card Blitz,/app/562540/,Feb 8 2017,58,52,46,46,52.29%
12507,Lethis - Daring Discoverers,/app/580570/,Jun 8 2017,38,15,13,13,52.28%
12508,Range Day VR,/app/601750/,Aug 10 2017,5,15,13,13,52.28%
12509,Master of ABC,/app/673820/,Aug 3 2017,3,15,13,13,52.28%
12510,Solitaire Mystery: Stolen Power,/app/679820/,Aug 24 2017,5,15,13,13,52.28%
12511,Red Wake Carnage,/app/656610/,Aug 31 2017,"1,567",174,156,156,52.25%
12512,Sky Road,/app/756190/,Dec 8 2017,9,44,39,39,52.22%
12513,Blue Whale,/app/744940/,Oct 31 2017,5,25,22,22,52.20%
12514,Star Control III,/app/358930/,Oct 19 2017,10,16,14,14,52.15%
12515,1166,/app/581810/,Apr 2 2017,41,16,14,14,52.15%
12516,Cynoclept: The Game,/app/688880/,Aug 25 2017,4,16,14,14,52.15%
12517,BACK TO THE EGG!,/app/705640/,Dec 27 2017,3,16,14,14,52.15%
12518,LSD,/app/718370/,Oct 31 2017,22,141,127,127,52.13%
12519,Mystic Journey: Tri Peaks Solitaire,/app/615340/,May 11 2017,127,77,69,69,52.13%
12520,Cube Color,/app/748430/,Nov 22 2017,5,26,23,23,52.12%
12521,King of Spin VR,/app/505220/,Oct 10 2017,7,7,6,6,52.11%
12522,Dreadful,/app/527880/,Sep 14 2017,3,7,6,6,52.11%
12523,Pyramid VR,/app/556540/,Aug 31 2017,3,7,6,6,52.11%
12524,Chateau Garden,/app/636010/,Jul 7 2017,6,7,6,6,52.11%
12525,Lost Legends: The Pharaoh's Tomb,/app/652830/,Jun 30 2017,3,7,6,6,52.11%
12526,SURV,/app/670620/,Jul 25 2017,3,7,6,6,52.11%
12527,Gunship Battle2 VR: Steam Edition,/app/700990/,Nov 14 2017,4,7,6,6,52.11%
12528,Astroe,/app/705800/,Sep 30 2017,4,7,6,6,52.11%
12529,The Red Front,/app/709790/,Oct 5 2017,3,7,6,6,52.11%
12530,Verzaken!,/app/739800/,Nov 6 2017,2,7,6,6,52.11%
12531,Dogstar,/app/739890/,Dec 13 2017,2,7,6,6,52.11%
12532,Stable Orbit,/app/481190/,Sep 27 2017,81,189,171,171,52.08%
12533,Nuclear Contingency,/app/540900/,Jan 3 2017,"2,516",145,131,131,52.07%
12534,Trivia Vault: Technology Trivia Deluxe,/app/767030/,Dec 21 2017,3,37,33,33,52.07%
12535,Commands & Colors: The Great War,/app/449460/,Jan 19 2017,29,48,43,43,52.04%
12536,JumpSky,/app/731910/,Nov 1 2017,25,59,53,53,52.03%
12537,Streetball VR,/app/644760/,Jun 1 2017,5,17,15,15,52.03%
12538,Death Train VR,/app/680780/,Sep 21 2017,306,17,15,15,52.03%
12539,Virtual Reality Girls,/app/752050/,Nov 25 2017,12,17,15,15,52.03%
12540,Les Fleursword,/app/689650/,Aug 24 2017,38,160,145,145,52.02%
12541,Machine World 2,/app/650350/,Jul 28 2017,67,97,88,88,51.93%
12542,World Basketball Manager 2,/app/591910/,Jun 22 2017,15,18,16,16,51.93%
12543,Bunny Bounce,/app/446610/,Mar 10 2017,45,40,36,36,51.92%
12544,Acaratus,/app/376410/,May 25 2017,21,29,26,26,51.92%
12545,Blue Bird,/app/434600/,Apr 14 2017,21,29,26,26,51.92%
12546,Nano Project,/app/622320/,May 24 2017,21,8,7,7,51.89%
12547,Indeep | The casual dungeon crawler,/app/664340/,Aug 17 2017,3,8,7,7,51.89%
12548,VR STOCK CAR RACERS,/app/673830/,Dec 12 2017,3,8,7,7,51.89%
12549,ZHUST - THE ILLUSION SOUL,/app/649670/,Jun 9 2017,4,19,17,17,51.84%
12550,TankVR,/app/712150/,Oct 9 2017,3,19,17,17,51.84%
12551,FlatOut 4: Total Insanity,/app/402130/,Apr 4 2017,64,917,845,845,51.83%
12552,Insane Cold: Back to the Ice Age,/app/764010/,Dec 16 2017,22,54,49,49,51.83%
12553,Syberia 3,/app/464340/,Apr 20 2017,"2,124","1,934","1,789","1,789",51.78%
12554,Darkest Hunters,/app/654300/,Sep 27 2017,203,56,51,51,51.77%
12555,Sons of Triskelion,/app/592060/,Apr 11 2017,698,20,18,18,51.76%
12556,Super Ultra Monster Smash!,/app/678060/,Aug 7 2017,3,20,18,18,51.76%
12557,POBEDA,/app/623580/,May 9 2017,"1,564",70,64,64,51.73%
12558,Jidousha Shakai,/app/611800/,Apr 29 2017,56,149,137,137,51.72%
12559,Darwin's bots,/app/612120/,Mar 27 2017,5,9,8,8,51.71%
12560,Space Panic: Room Escape (VR),/app/649460/,Jun 23 2017,4,9,8,8,51.71%
12561,Black River,/app/585090/,Apr 4 2017,985,21,19,19,51.68%
12562,Hegis' Grasp: Evil Resurrected,/app/644380/,Oct 13 2017,6,21,19,19,51.68%
12563,Business-hooiznes,/app/683220/,Aug 25 2017,3,35,32,32,51.61%
12564,The Song of Terminus 終焉的迴響:護界者之歌,/app/741320/,Oct 27 2017,21,35,32,32,51.61%
12565,Calm Waters,/app/541350/,Jun 12 2017,7,22,20,20,51.61%
12566,Tower Defense - Fantasy Tower Game,/app/599900/,Mar 22 2017,14,22,20,20,51.61%
12567,Undertaker's,/app/653050/,Aug 2 2017,6,10,9,9,51.56%
12568,CrownFall,/app/683730/,Aug 17 2017,7,10,9,9,51.56%
12569,Colorless Life,/app/670430/,Jul 25 2017,5,23,21,21,51.55%
12570,Consortium: The Tower,/app/626250/,Sep 22 2017,11,24,22,22,51.49%
12571,Welcome to Hanwell,/app/611750/,Oct 20 2017,21,143,133,133,51.48%
12572,Beach Bowling Dream VR,/app/557960/,Jan 13 2017,2,11,10,10,51.44%
12573,Mad-Sector,/app/658120/,Jul 14 2017,3,11,10,10,51.44%
12574,Girls and Quiz,/app/664420/,Jul 11 2017,4,11,10,10,51.44%
12575,The Escape,/app/733430/,Dec 29 2017,10,11,10,10,51.44%
12576,Fluffy Friends 2,/app/737810/,Nov 17 2017,11,27,25,25,51.34%
12577,Across The Line,/app/491800/,Feb 2 2017,5,12,11,11,51.34%
12578,Land Doctrine,/app/600740/,Mar 14 2017,5,12,11,11,51.34%
12579,Legends Of Iona RPG,/app/668730/,Aug 22 2017,4,12,11,11,51.34%
12580,Space Panic Defense,/app/746540/,Nov 24 2017,7,12,11,11,51.34%
12581,Party Hard Tycoon,/app/513330/,Oct 19 2017,167,161,151,151,51.32%
12582,Trivia Vault: Science & History Trivia 2,/app/699590/,Sep 1 2017,7,44,41,41,51.30%
12583,Metonymy,/app/714970/,Oct 25 2017,9,29,27,27,51.26%
12584,Esports Life: Ep.1 - Dreams of Glory,/app/704830/,Nov 30 2017,96,104,98,98,51.19%
12585,Beachhead: DESERT WAR,/app/614770/,May 2 2017,4,14,13,13,51.17%
12586,Beyond the Invisible: Evening,/app/650880/,Jun 22 2017,11,14,13,13,51.17%
12587,Rage Room,/app/745130/,Dec 25 2017,14,14,13,13,51.17%
12588,Argo,/app/530700/,Jun 22 2017,"6,659","5,691","5,424","5,424",51.13%
12589,Crushing Blow,/app/653760/,Aug 16 2017,9,15,14,14,51.10%
12590,TRANSCEND ,/app/760860/,Dec 2 2017,5,15,14,14,51.10%
12591,Project: R.E.B.O.O.T 2,/app/575760/,Jan 27 2017,"1,313",35,33,33,51.06%
12592,Operation swat,/app/584780/,Jan 27 2017,"1,944",35,33,33,51.06%
12593,BADASS,/app/588920/,Apr 7 2017,"1,154",36,34,34,51.03%
12594,Survival Tycoon,/app/667920/,Jul 15 2017,7,36,34,34,51.03%
12595,The Village,/app/632050/,Oct 12 2017,"1,847",59,56,56,50.99%
12596,Wordlase,/app/602930/,Apr 29 2017,304,38,36,36,50.98%
12597,Sunrise survival,/app/663110/,Aug 3 2017,95,223,213,213,50.96%
12598,The Theodore Adventures,/app/656940/,Jul 20 2017,2,18,17,17,50.94%
12599,Machine Hunt,/app/546930/,May 15 2017,"2,138",270,259,259,50.88%
12600,TransRoad: USA,/app/494670/,Nov 9 2017,405,193,185,185,50.88%
12601,Felix Jumpman,/app/575920/,Jan 25 2017,"1,904",48,46,46,50.79%
12602,Block Warriors,/app/704210/,Sep 6 2017,53,343,331,331,50.76%
12603,Cyborg Invasion Shooter,/app/723830/,Nov 7 2017,5,23,22,22,50.76%
12604,RUGBY 18,/app/627450/,Oct 27 2017,34,53,51,51,50.72%
12605,仙剑奇侠传六(Chinese Paladin：Sword and Fairy 6),/app/681810/,Nov 15 2017,217,753,730,730,50.69%
12606,Oracle,/app/576310/,Feb 28 2017,"3,485",121,117,117,50.68%
12607,Animal Rivals,/app/617420/,Apr 19 2017,"1,758",26,25,25,50.68%
12608,No Lights,/app/682910/,Aug 7 2017,11,58,56,56,50.67%
12609,Professor Watts: Memory Match,/app/679530/,Jul 28 2017,27,27,26,26,50.66%
12610,Harvest Life,/app/649790/,Nov 11 2017,25,128,124,124,50.64%
12611,Tyd wag vir Niemand,/app/589730/,Jul 7 2017,"1,583",28,27,27,50.64%
12612,The Awakening,/app/687280/,Sep 21 2017,33,28,27,27,50.64%
12613,The Esoterica: Hollow Earth,/app/560730/,Feb 2 2017,21,62,60,60,50.63%
12614,Holy Potatoes! What the Hell?!,/app/664320/,Oct 13 2017,52,67,65,65,50.58%
